
03:07:00:AM,19-August-2022,Forward
03:07:01:AM,19-August-2022,Forward
03:07:02:AM,19-August-2022,Forward
03:07:03:AM,19-August-2022,Forward
03:07:04:AM,19-August-2022,Forward
03:07:05:AM,19-August-2022,Forward
03:07:05:AM,19-August-2022,Forward
03:07:05:AM,19-August-2022,Forward
03:07:06:AM,19-August-2022,Forward
03:07:06:AM,19-August-2022,Forward
03:07:06:AM,19-August-2022,Forward
03:07:06:AM,19-August-2022,Forward
03:07:07:AM,19-August-2022,Forward
03:07:07:AM,19-August-2022,Forward
03:07:07:AM,19-August-2022,Forward
03:07:08:AM,19-August-2022,Forward
03:07:08:AM,19-August-2022,Forward
03:07:08:AM,19-August-2022,Looking Right
03:07:09:AM,19-August-2022,Looking Right
03:07:09:AM,19-August-2022,Looking Right
03:07:09:AM,19-August-2022,Looking Right
03:07:09:AM,19-August-2022,Looking Right
03:07:10:AM,19-August-2022,Looking Right
03:07:10:AM,19-August-2022,Looking Left
03:07:11:AM,19-August-2022,Looking Left
03:07:11:AM,19-August-2022,Looking Left
03:07:11:AM,19-August-2022,Looking Left
03:07:11:AM,19-August-2022,Looking Left
03:07:12:AM,19-August-2022,Looking Left
03:07:12:AM,19-August-2022,Looking Left
03:07:12:AM,19-August-2022,Looking Left
03:07:13:AM,19-August-2022,Looking Left
03:07:13:AM,19-August-2022,Looking Left
03:07:13:AM,19-August-2022,Looking Left
03:07:14:AM,19-August-2022,Looking Left
03:07:15:AM,19-August-2022,Looking Left
03:07:15:AM,19-August-2022,Forward
03:07:15:AM,19-August-2022,Forward
03:07:15:AM,19-August-2022,Forward
03:07:15:AM,19-August-2022,Forward
03:07:16:AM,19-August-2022,Forward
03:07:16:AM,19-August-2022,Forward
03:07:17:AM,19-August-2022,Forward
03:07:17:AM,19-August-2022,Forward
03:07:17:AM,19-August-2022,Forward
03:07:17:AM,19-August-2022,Forward
03:07:18:AM,19-August-2022,Forward
03:07:18:AM,19-August-2022,Forward
03:07:19:AM,19-August-2022,Forward
03:07:19:AM,19-August-2022,Forward
03:07:19:AM,19-August-2022,Forward
03:07:20:AM,19-August-2022,Forward
03:07:21:AM,19-August-2022,Forward
03:07:21:AM,19-August-2022,Forward
03:07:21:AM,19-August-2022,Forward
03:07:22:AM,19-August-2022,Forward
03:07:23:AM,19-August-2022,Forward
03:07:24:AM,19-August-2022,Forward
03:07:25:AM,19-August-2022,Forward
03:07:26:AM,19-August-2022,Forward
03:07:27:AM,19-August-2022,Forward
03:07:28:AM,19-August-2022,Forward
03:07:29:AM,19-August-2022,Looking Down
03:07:30:AM,19-August-2022,Looking Down
03:07:31:AM,19-August-2022,Looking Down
03:07:32:AM,19-August-2022,Looking Down
03:07:33:AM,19-August-2022,Forward
03:07:34:AM,19-August-2022,Forward
03:07:35:AM,19-August-2022,Forward
03:07:36:AM,19-August-2022,Forward
03:07:37:AM,19-August-2022,Forward
03:07:38:AM,19-August-2022,Forward
03:07:39:AM,19-August-2022,Forward
03:07:40:AM,19-August-2022,Forward
03:07:41:AM,19-August-2022,Forward
03:07:42:AM,19-August-2022,Forward
03:07:42:AM,19-August-2022,Forward
03:07:42:AM,19-August-2022,Forward
03:07:43:AM,19-August-2022,Forward
03:07:43:AM,19-August-2022,Looking Down
03:07:43:AM,19-August-2022,Forward
03:07:44:AM,19-August-2022,Forward
03:07:44:AM,19-August-2022,Forward
03:07:44:AM,19-August-2022,Forward
03:07:45:AM,19-August-2022,Forward
03:07:45:AM,19-August-2022,Forward
03:07:46:AM,19-August-2022,Forward
03:07:46:AM,19-August-2022,Forward
03:07:46:AM,19-August-2022,Forward
03:07:47:AM,19-August-2022,Forward
03:07:47:AM,19-August-2022,Forward
03:07:47:AM,19-August-2022,Forward
03:07:48:AM,19-August-2022,Forward
03:07:48:AM,19-August-2022,Forward
03:07:48:AM,19-August-2022,Forward
03:07:49:AM,19-August-2022,Forward
03:07:49:AM,19-August-2022,Forward
03:07:49:AM,19-August-2022,Looking Right
03:07:50:AM,19-August-2022,Looking Right
03:07:50:AM,19-August-2022,Looking Right
03:07:50:AM,19-August-2022,Forward
03:07:51:AM,19-August-2022,Looking Left
03:07:51:AM,19-August-2022,Looking Left
03:07:51:AM,19-August-2022,Looking Left
03:07:52:AM,19-August-2022,Looking Left
03:07:52:AM,19-August-2022,Looking Left
03:07:52:AM,19-August-2022,Looking Left
03:07:53:AM,19-August-2022,Looking Left
03:07:53:AM,19-August-2022,Looking Left
03:07:53:AM,19-August-2022,Looking Left
03:07:54:AM,19-August-2022,Looking Left
03:07:55:AM,19-August-2022,Looking Left
03:07:55:AM,19-August-2022,Forward
03:07:55:AM,19-August-2022,Forward
03:07:56:AM,19-August-2022,Forward
03:07:57:AM,19-August-2022,Forward
03:07:58:AM,19-August-2022,Forward
03:08:00:AM,19-August-2022,Looking Left
03:08:01:AM,19-August-2022,Forward
03:08:02:AM,19-August-2022,Forward
03:08:03:AM,19-August-2022,Looking Down
03:08:04:AM,19-August-2022,Looking Down
03:08:05:AM,19-August-2022,Looking Down
03:08:06:AM,19-August-2022,Forward
03:08:07:AM,19-August-2022,Forward
03:08:08:AM,19-August-2022,Forward
03:08:09:AM,19-August-2022,Forward
03:08:10:AM,19-August-2022,Forward
03:08:11:AM,19-August-2022,Forward
03:08:12:AM,19-August-2022,Forward
03:08:13:AM,19-August-2022,Forward
03:08:13:AM,19-August-2022,Forward
03:08:13:AM,19-August-2022,Forward
03:08:13:AM,19-August-2022,Looking Left
03:08:13:AM,19-August-2022,Forward
03:08:14:AM,19-August-2022,Forward
03:08:14:AM,19-August-2022,Forward
03:08:15:AM,19-August-2022,Forward
03:08:15:AM,19-August-2022,Forward
03:08:15:AM,19-August-2022,Forward
03:08:16:AM,19-August-2022,Forward
03:08:16:AM,19-August-2022,Forward
03:08:17:AM,19-August-2022,Forward
03:08:18:AM,19-August-2022,Forward
03:08:18:AM,19-August-2022,Forward
03:08:19:AM,19-August-2022,Forward
03:08:19:AM,19-August-2022,Forward
03:08:19:AM,19-August-2022,Looking Left
03:08:19:AM,19-August-2022,Forward
03:08:20:AM,19-August-2022,Forward
03:08:20:AM,19-August-2022,Forward
03:08:20:AM,19-August-2022,Forward
03:08:21:AM,19-August-2022,Forward
03:08:21:AM,19-August-2022,Forward
03:08:22:AM,19-August-2022,Forward
03:08:23:AM,19-August-2022,Forward
03:08:23:AM,19-August-2022,Forward
03:08:24:AM,19-August-2022,Looking Right
03:08:24:AM,19-August-2022,Looking Left
03:08:24:AM,19-August-2022,Looking Left
03:08:24:AM,19-August-2022,Forward
03:08:25:AM,19-August-2022,Forward
03:08:26:AM,19-August-2022,Forward
03:08:26:AM,19-August-2022,Forward
03:08:26:AM,19-August-2022,Forward
03:08:26:AM,19-August-2022,Forward
03:08:27:AM,19-August-2022,Forward
03:08:28:AM,19-August-2022,Forward
03:08:29:AM,19-August-2022,Forward
03:08:30:AM,19-August-2022,Forward
03:08:31:AM,19-August-2022,Forward
03:08:32:AM,19-August-2022,Forward
03:08:33:AM,19-August-2022,Forward
03:08:34:AM,19-August-2022,Forward
03:08:35:AM,19-August-2022,Forward
03:08:35:AM,19-August-2022,Forward
03:08:35:AM,19-August-2022,Forward
03:08:35:AM,19-August-2022,Forward
03:08:35:AM,19-August-2022,Forward
03:08:36:AM,19-August-2022,Forward
03:08:36:AM,19-August-2022,Forward
03:08:36:AM,19-August-2022,Forward
03:08:37:AM,19-August-2022,Forward
03:08:37:AM,19-August-2022,Forward
03:08:37:AM,19-August-2022,Forward
03:08:38:AM,19-August-2022,Forward
03:08:38:AM,19-August-2022,Forward
03:08:38:AM,19-August-2022,Forward
03:08:38:AM,19-August-2022,Forward
03:08:39:AM,19-August-2022,Forward
03:08:39:AM,19-August-2022,Forward
03:08:39:AM,19-August-2022,Forward
03:08:40:AM,19-August-2022,Forward
03:08:40:AM,19-August-2022,Forward
03:08:40:AM,19-August-2022,Forward
03:08:41:AM,19-August-2022,Forward
03:08:41:AM,19-August-2022,Looking Left
03:08:42:AM,19-August-2022,Looking Left
03:08:42:AM,19-August-2022,Looking Left
03:08:43:AM,19-August-2022,Forward
03:08:43:AM,19-August-2022,Forward
03:08:43:AM,19-August-2022,Forward
03:08:43:AM,19-August-2022,Forward
03:08:44:AM,19-August-2022,Forward
03:08:45:AM,19-August-2022,Forward
